,Number,Name_of_Covered_Entity,State,Business_Associate_Involved,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,,breach_start,breach_end,year
403,402,Premier Imaging,NC,,551,9/14/2011,Unknown,Paper,23/01/14,,14/09/11,NA,2011
404,403,"The Good Samaritan Hospital of Cincinnati, Ohio",OH,"Pitney Bowes Management Services, Inc.",1089,09/03/11,Theft,Desktop Computer,24/03/14,,03/09/11,NA,2011
405,404,"Bethesda Hospital, Inc.",OH,"Pitney Bowes Management Services, Inc.",946,09/03/11,Theft,Desktop Computer,24/03/14,,03/09/11,NA,2011
406,405,"Julie A. Kennedy, D.M.D., P.A.",FL,,2900,9/30/2011,Theft,Network Server,23/01/14,,30/09/11,NA,2011
407,406,"KCI USA, Inc.",TX,,567,09/08/11,Theft,"Other Portable Electronic Device, Other",23/01/14,,08/09/11,NA,2011
408,407,Lebanon Internal Medicine Associates,PA,,55000,09/10/11,Improper Disposal,Network Server,23/01/14,,10/09/11,NA,2011
409,408,St. Joseph Medical Center,MD,,5000,09/11/11,Theft,"Other, Paper",24/03/14,,11/09/11,NA,2011
410,409,TRICARE Management Activity (TMA),VA,Science Applications International Corporation (SA,4900000,9/13/2011,Loss,Other,23/01/14,,13/09/11,NA,2011
411,410,UCLA Health System,CA,,2761,09/06/11,Theft,"Other Portable Electronic Device, Other",23/01/14,,06/09/11,NA,2011
412,411,Logan County Emergeny Ambulance Service Authority,WV,,12563,10/01/11,"Theft, Loss",Laptop,23/01/14,,01/10/11,NA,2011
413,412,Lawrence Memorial Hospital,KS,"Mid Continent Credit Services, Inc.",8275,09/20/2011 - 10/28/2011,"Unauthorized Access/Disclosure, Other",Other,23/04/14,,20/09/11,28/10/11,2011
414,413,Sutter Medical Foundation,AL,,943434,10/15/2011,Theft,Desktop Computer,23/01/14,,15/10/11,NA,2011
415,414,Medcenter One,ND,,650,10/21/2011,Theft,Laptop,23/01/14,,21/10/11,NA,2011
416,415,Dallas County Hospital District dba Parkland Health & Hospital System,TX,,2464,09/05/11,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper",23/01/14,,05/09/11,NA,2011
417,416,University of Kentucky UK HealthCare,KY,,878,9/25/2011,Loss,Other Portable Electronic Device,23/01/14,,25/09/11,NA,2011
418,417,State of Tennessee Sponsored Group Health Plan,TN,,1770,10/06/11,Unauthorized Access/Disclosure,Paper,23/01/14,,06/10/11,NA,2011
419,418,Cleveland Clinic Florida,FL,,772,10/03/11,Loss,Other,23/04/14,,03/10/11,NA,2011
420,419,"Jay C. Platt, DDS",IN,,10705,10/06/11,Theft,Other,24/03/14,,06/10/11,NA,2011
421,420,Rite Aid Corporation ,PA,,2900,10/07/11,Other,Paper,23/01/14,,07/10/11,NA,2011
422,421,Advanced Occupational Medicine Specialists,IL,Blue Vantage Group,7226,10/12/11,Unauthorized Access/Disclosure,Network Server,23/01/14,,12/10/11,NA,2011
423,422,Open MRI of Chicago,IL,Nation Wise Machine Buyers,2000,09/06/11,Improper Disposal,Paper,23/01/14,,06/09/11,NA,2011
424,423,University of Nebraska Medical Center,NE,,611,11/15/2011,Theft,Paper,23/04/14,,15/11/11,NA,2011
425,424,Roberts S. Smith M.D. Inc.,GA,,17000,10/17/2011,Theft,Laptop,23/01/14,,17/10/11,NA,2011
426,425,"Paul C. Brown, MD, PS",WA,,4693,10/14/2011 - 10/17/2011,Theft,Other,14/02/14,,14/10/11,17/10/11,2011
427,426,Molina Healthcare of California,CA,,11081,9/23/2009,Other,Paper,23/01/14,,23/09/09,NA,2009
428,427,Aegis Sciences Corporation,TN,,2185,11/22/2011,Theft,"Laptop, Other Portable Electronic Device",23/04/14,,22/11/11,NA,2011
429,428,"Soundpath Health, Inc",WA,,7581,11/22/2011,Theft,Laptop,14/02/14,,22/11/11,NA,2011
430,429,Concentra Health,TX,,870,11/30/2011,Theft,Laptop,23/01/14,,30/11/11,NA,2011
431,430,Sleep HealthCenters LLC,MA,,2988,11/23/2011,Theft,Laptop,13/03/14,,23/11/11,NA,2011
432,431,Smile Designs,FL,,1670,12/01/11,Theft,"Desktop Computer, Network Server",23/01/14,,01/12/11,NA,2011
433,432,PBH,NC,Alamance Caswell Local Management Entity,50000,11/15/2011,"Unauthorized Access/Disclosure, Other","Network Server, E-mail",23/01/14,,15/11/11,NA,2011
434,433,"CardioNet, Inc",PA,,1300,11/10/11,Theft,Laptop,23/01/14,,10/11/11,NA,2011
435,434,"MDwise, Inc.",IN,RightNow Technologies,2700,02/10/11,Unauthorized Access/Disclosure,Other,24/03/14,,10/02/11,NA,2011
436,435,Ford Motor Company,MI,"WageWorks, Inc.",1700,01/03/12,Other,Paper,24/03/14,,03/01/12,NA,2012
437,436,Foundation Medical Partners,NH,,771,11/19/2011 - 12/01/2011,Theft,Paper,02/06/14,,19/11/11,01/12/11,2011
438,437,Kansas Department on Aging,KS,,7757,01/11/12,Theft,Laptop,23/01/14,,11/01/12,NA,2012
439,438,Delta Dental of California,CA,,11646,12/22/2011 - 12/23/2011,Other,Paper,23/01/14,,22/12/11,23/12/11,2011
440,439,Muskogee Regional Medical Center,OK,,844,12/05/11,Loss,Other,23/01/14,,05/12/11,NA,2011
441,440,Department of Medical Assistance Services,VA,"ACS, Affiliated Computer Services, Inc., A Xerox Company",1444,11/02/2011 - 11/16/2011,"Unauthorized Access/Disclosure, Other",Paper,23/01/14,,02/11/11,16/11/11,2011
442,441,"Oldendorf Medical Services, PLLC",NY,,549,1/17/2012,Theft,Laptop,02/06/14,,17/01/12,NA,2012
443,442,St.Vincent Physician Network,IN,,1423,12/01/2010-11/21/2011,"Theft, Unauthorized Access/Disclosure",Paper,24/03/14,,01/12/10,21/11/11,2010
444,443,Flex Physical Therapy,WA,,3100,12/30/2011,Theft,Desktop Computer,23/01/14,,30/12/11,NA,2011
445,444,Metro Community Provider Network,CO,,3200,12/05/11,"Hacking/IT Incident, Other",E-mail,23/01/14,,05/12/11,NA,2011
446,445,University of Miami ,FL,,1219,11/24/2011,Theft,Other Portable Electronic Device,23/01/14,,24/11/11,NA,2011
447,446,UnitedHealth Group health plan single affiliated covered entity,MN,,6678,12/15/2011,Other,Paper,24/03/14,,15/12/11,NA,2011
448,447,"Triumph, LLC",NC,,2000,12/13/2011,Theft,Laptop,23/01/14,,13/12/11,NA,2011
449,448,Fairview Health Services,MN,Accretive Health,14000,7/25/2011,Theft,Laptop,23/01/14,,25/07/11,NA,2011
450,449,Loma Linda University Medical Center (LLUMC),CA,,1366,12/19/2011,Other,Paper,23/01/14,,19/12/11,NA,2011
451,450,Ford Motor Company Salaried Health Reimbursement Arrangement (HRA) Plan,MI,"Affiliated Computer Services, Inc.  (ACS, Inc.) A Xerox Company",1700,12/29/2011,Other,Other,24/03/14,,29/12/11,NA,2011
452,451,"Medco Health Solutions, Inc.",NJ,,1287,11/30/2011,Theft,Paper,20/06/14,,30/11/11,NA,2011
453,452,Lakeview Medical Center,WI,,698,01/04/12,Theft,Laptop,23/01/14,,04/01/12,NA,2012
454,453,"Goshen Health System, Inc.",IN,,660,12/22/2011,Hacking/IT Incident,Other,23/01/14,,22/12/11,NA,2011
455,454,Georgetown University Hospital,DC,,1549,11/01/11,Unauthorized Access/Disclosure,Paper,23/01/14,,01/11/11,NA,2011
456,455,Motion Picture Industry Health Plans (MPI),CA,,703,09/23/2009 - 12/02/2011,Other,Other,14/02/14,,23/09/09,02/12/11,2009
457,456,Ochsner Health System,LA,,2088,1/19/2012,Loss,Other Portable Electronic Device,23/01/14,,19/01/12,NA,2012
458,457,Applegate Valley Family Medicine,OR,Dr. Trandinh,2300,12/01/2011-12/17/2011,"Theft, Unauthorized Access/Disclosure",Laptop,23/01/14,,01/12/11,17/12/11,2011
459,458,"CardioNet, Inc.",PA,,728,12/29/2011,Theft,Laptop,23/01/14,,29/12/11,NA,2011
460,459,Presbyterian Healthcare Services,NM,"Beth Barrett Consulting, LLC",7000,12/29/2011,Theft,Laptop,13/03/14,,29/12/11,NA,2011
461,460,"Alliant Health Plans, Inc.",GA,"Catalyst Health Solutions, Inc.",632,01/01/12,Unauthorized Access/Disclosure,Other,23/01/14,,01/01/12,NA,2012
462,461,"FIRST MEDICAL CENTER, INC.",PR,"T&P CONSULTING, INC. D/B/A QUANTUM",7706,01/11/12,Theft,Laptop,13/06/14,,11/01/12,NA,2012
463,462,Lee Miller Rehabilitation Associates,MD,,10480,1/15/2012,Theft,Network Server,23/01/14,,15/01/12,NA,2012
464,463,"Jeremaih J. Twomey, F.A.C.P., P.A.",TX,"Jeremaih J. Twomey, F.A.C.P., P.A.",2559,12/31/2011,Theft,Other,23/01/14,,31/12/11,NA,2011
465,464,Anchorage Community Mental Health Services Inc.,AK,,2743,12/20/2011 - 01/04/2012,Unauthorized Access/Disclosure,Desktop Computer,23/01/14,,20/12/11,04/01/12,2011
466,465,Robley Rex VA Medical Center ,KY,,1182,01/09/12,Other,Paper,23/01/14,,09/01/12,NA,2012
467,466,Indiana Internal Medicine Consultants,IN,,20000,02/11/12,Theft,Laptop,24/06/14,,11/02/12,NA,2012
468,467,Policlinica La Familia IPA 343,PR,"T & P Consulting, Inc. d/b/a Quantum Health Consulting",5994,01/11/12,Theft,Laptop,03/06/14,,11/01/12,NA,2012
469,468,Servicios Medicos Integrados de Fajardo,PR,"T & P Consulting, Inc. d/b/a Quantum Health Consulting",10000,01/11/12,Theft,"Laptop, Other Portable Electronic Device",23/04/14,,11/01/12,NA,2012
470,469,Proveedores Aliados por tu SAlud,PR,Quantum Health Consulting,4645,01/12/12,Theft,Laptop,20/06/14,,12/01/12,NA,2012
471,470,"Centro de Servicios de Cuidados Dirigidos, Inc. d/b/a Metro Salud grupo Profesional",PR,"T&P Consulting, INC. d/b/a Quantum Health Consulting",27098,01/11/12,Theft,Laptop,20/06/14,,11/01/12,NA,2012
472,471,Kern Medical Center ,CA,,1431,2/25/2012,Theft,Paper,23/01/14,,25/02/12,NA,2012
473,472,"William F. DeLuca Jr., M.D.",NY,,577,1/16/2012,Theft,Laptop,02/06/14,,16/01/12,NA,2012
474,473,Grupo Medico IPA -341,PR,Quantum Health Consulting,7923,01/11/12,Theft,Laptop,20/06/14,,11/01/12,NA,2012
475,474,Advanced Clinical Research Institute,CA,,875,1/26/2012,Theft,Paper,23/01/14,,26/01/12,NA,2012
476,475,Access Medical Group -IPA 344,PR,"T&P Consulting, INC DBA Quantum HC",7606,01/11/12,Theft,"Laptop, Other Portable Electronic Device",13/06/14,,11/01/12,NA,2012
477,476,Georgia Health Sciences University,GA,,513,1/18/2012,Theft,Laptop,23/01/14,,18/01/12,NA,2012
478,477,"Baylor Heart and Vascular Center, LLP",TX,,1972,1/26/2012,Theft,Other Portable Electronic Device,23/01/14,,26/01/12,NA,2012
479,478,Chicago Musculoskeletal Institute/Metro Orthopedics,IL,,750,12/31/2011,Other,Network Server,24/03/14,,31/12/11,NA,2011
480,479,"Tufts Associated Health Maintenance Organization, Inc. and Tufts Insurance Company",MA,"Caremark PCS Health, L.L.C. (formerly known as Caremark PCS Health, L.P.)",3482,01/17/2012-02/02/2012,Other,Paper,23/01/14,,17/01/12,02/02/12,2012
481,480,Duke University Health System,NC,,1370,07/01/2008 - 11/30/2011,Unauthorized Access/Disclosure,Other,23/04/14,,01/07/08,30/11/11,2008
482,481,St. Joseph's Medical Center,CA,,712,02/02/12,Theft,Paper,23/01/14,,02/02/12,NA,2012
483,482,UnitedHealth Group health plan single affiliated covered entity,MN,,3537,6/28/2011,Unauthorized Access/Disclosure,Other,24/03/14,,28/06/11,NA,2011
484,483,CenterLight Healthcare,NY,,642,1/27/2012,Unauthorized Access/Disclosure,E-mail,23/01/14,,27/01/12,NA,2012
485,484,Lake Granbury Medical Center,TX,,502,2/13/2012,Theft,Paper,23/01/14,,13/02/12,NA,2012
486,485,County of Wayne Department of Personnel/Human Resources Benefits Administration Division,MI,,1229,3/16/2012,Unauthorized Access/Disclosure,E-mail,10/06/14,,16/03/12,NA,2012
487,486,St. Elizabeth's Medical Center,MA,,6831,02/01/12,Loss,Paper,23/01/14,,01/02/12,NA,2012
488,487,The Neighborhood Christian Clinic,AZ,,9565,02/07/12,Loss,Other Portable Electronic Device,23/01/14,,07/02/12,NA,2012
489,488,"AccentCare Home Health of California, Inc. Medicare # 057564    CA state License # 080000226",CA,,1000,04/20/2012 - 04/21/2012,Unauthorized Access/Disclosure,E-mail,23/01/14,,20/04/12,21/04/12,2012
490,489,Seton Health Plan,TX,HealthLOGIX,555,03/09/12,Unauthorized Access/Disclosure,Paper,23/01/14,,09/03/12,NA,2012
491,490,awklein a med corp,CA,David Charles Rish,2000,02/01/11,Theft,Other,23/01/14,,01/02/11,NA,2011
492,491,Utah Department of Health,UT,Utah Department of Technology Services,780000,03/10/2012-04/02/2012,Hacking/IT Incident,Network Server,23/01/14,,10/03/12,02/04/12,2012
493,492,IU Medical Group,IN,,1000,04/11/12,Improper Disposal,Paper,23/01/14,,11/04/12,NA,2012
494,493,Rhinebeck Health Center/Center for Progressive Medicine,NY,,6745,11/15/2011-12/14/2011,Theft,"Desktop Computer, Network Server",03/06/14,,15/11/11,14/12/11,2011
495,494,Memorial Healthcare System,FL,,9497,08/01/2011 - 02/12/2012,Other,Other,23/01/14,,01/08/11,12/02/12,2011
496,495,"Roy E. Gondo, M.D.",WA,,2100,2/21/2012,Theft,"Desktop Computer, Electronic Medical Record",23/01/14,,21/02/12,NA,2012
497,496,"DRD Management, Inc. D/B/A DRD Knoxville Medical Clinic - Central",TX,,1000,2/16/2012,Improper Disposal,Paper,23/01/14,,16/02/12,NA,2012
498,497,Emory Healthcare,GA,,315000,02/07/2012 - 02/20/2012,"Unknown, Other",Other,23/01/14,,07/02/12,20/02/12,2012
499,498,"Rex Smith, DPM -Rex Smith Podiatry ",OR,,20915,2/19/2012,Theft,Desktop Computer,23/01/14,,19/02/12,NA,2012
500,499,Desert AIDS Project,CA,,4400,04/12/12,Theft,Desktop Computer,23/01/14,,12/04/12,NA,2012
501,500,University of Arkansas for Medical Sciences,AR,,7121,2/15/2012,Unauthorized Access/Disclosure,Other,23/01/14,,15/02/12,NA,2012
502,501,"TLC DENTAL DANIA, LLC",FL,,750,4/23/2012,Theft,Paper,20/02/14,,23/04/12,NA,2012
503,502,South Carolina Department of Health and Human Services,SC,,228435,01/31/2012 - 04/02/2012,Unauthorized Access/Disclosure,E-mail,23/01/14,,31/01/12,02/04/12,2012
504,503,Oregon Health Authority,OR,,550,4/13/2012,Theft,Paper,23/04/14,,13/04/12,NA,2012
505,504,SHIELDS For Families ,CA,,961,2/27/2012,Theft,Network Server,23/01/14,,27/02/12,NA,2012
506,505,"Safe Ride Services, Inc",AZ,,42000,8/31/2011,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,23/01/14,,31/08/11,NA,2011
507,506,IntraCare North Hospital,TX,,750,03/15/2011 - 08/18/2011,Theft,Paper,23/01/14,,15/03/11,18/08/11,2011
508,507,"Oakland Vision Services, PC",MI,,3000,04/09/12,Hacking/IT Incident,Network Server,24/03/14,,09/04/12,NA,2012
509,508,"Stephen Haggard, DPM Podiatry ",WA,,1597,03/04/12,Theft,Network Server,23/01/14,,04/03/12,NA,2012
510,509,Baptist Health System,AL,,1655,03/08/12,Improper Disposal,Paper,23/01/14,,08/03/12,NA,2012
511,510,University of Houston for UH College of Optometry,TX,,7000,02/22/2012-02/23/2012,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,23/01/14,,22/02/12,23/02/12,2012
512,511,Rite Aid Store 1343,WV,,2905,3/26/2012,Theft,Paper,24/03/14,,26/03/12,NA,2012
513,512,Iowa Department of Human Services,IA,,3000,02/06/2012 - 03/14/2012,Improper Disposal,Paper,23/01/14,,06/02/12,14/03/12,2012
514,513,Hogan Services Inc. Health Care Premium Plan,MO,,1134,3/30/2012,Unauthorized Access/Disclosure,E-mail,23/01/14,,30/03/12,NA,2012
515,514,"Family HealthServices Minnesota, P.A.",MN,,4000,3/30/2012,Theft,Laptop,10/06/14,,30/03/12,NA,2012
516,515,St. Mary Medical Center,CA,,3900,05/07/12,Loss,Other Portable Electronic Device,23/01/14,,07/05/12,NA,2012
517,516,Fairview Health Services,MN,Accretive Health,623,7/25/2011,Theft,Laptop,24/03/14,,25/07/11,NA,2011
518,517,Our Lady of the Lake Regional Medical Center,LA,,17000,3/16/2012,"Theft, Loss",Laptop,23/01/14,,16/03/12,NA,2012
519,518,UnitedHealth Group health plan single affiliated covered entity,MN,,19100,06/28/2011 - 12/12/2011,Unauthorized Access/Disclosure,Other,23/01/14,,28/06/11,12/12/11,2011
520,519,West Dermatology,CA,,1900,04/21/2012 - 04/22/2012,Theft,Other,23/01/14,,21/04/12,22/04/12,2012
521,520,Duke University Health System,NC,,591,04/21/2004-02/16/2012,Unauthorized Access/Disclosure,Other,23/01/14,,21/04/04,16/02/12,2004
522,521,"Luz Colon, DPM  Podiatry ",FL,,1137,3/20/2012,"Theft, Loss",Laptop,23/01/14,,20/03/12,NA,2012
523,522,Ameritas Life Insurance Corp. ,NE,,3000,3/21/2012,Theft,Laptop,23/01/14,,21/03/12,NA,2012
524,523,Children's Hospital Boston,MA,,2159,3/25/2012,Theft,Laptop,23/01/14,,25/03/12,NA,2012
525,524,Upper Valley Medical Center,OH,"Data Image, Inc.",15000,10/01/2010-03/21/2012,Unauthorized Access/Disclosure,Other,23/01/14,,01/10/10,21/03/12,2010
526,525,Physician's Automated Laboratory,CA,,745,03/23/2012 - 03/26/2012,Theft,Paper,23/01/14,,23/03/12,26/03/12,2012
527,526,"Phoebe Putney Memorial Hospital, Inc. ",GA,,12937,07/26/2010-03/29/2012,Theft,"Electronic Medical Record, Paper",20/02/14,,26/07/10,29/03/12,2010
528,527,Independence Physical Therapy,CT,,925,08/01/11,Theft,Desktop Computer,23/01/14,,01/08/11,NA,2011
529,528,Titus Regional Medical Center,TX,,5700,3/27/2012,"Loss, Unknown",Laptop,23/01/14,,27/03/12,NA,2012
530,529,Titus Regional Medical Center,TX,,500,3/29/2012,Theft,Other,23/01/14,,29/03/12,NA,2012
531,530,Lutheran Community Services Northwest,WA,,756,03/29/2012-03/30/2012,Theft,"Desktop Computer, Other Portable Electronic Device",23/01/14,,29/03/12,30/03/12,2012
532,531,"Volunteer State Health Plan, Inc. ",TN,,1102,03/16/2012-04/20/2012,Loss,Paper,23/01/14,,16/03/12,20/04/12,2012
533,532,Charlie Norwood VA Medical Center,GA,,824,3/30/2012,Loss,Other Portable Electronic Device,23/01/14,,30/03/12,NA,2012
534,533,"Mid America Health, Inc.",IN,PrevMED,1444,04/06/12,Theft,Laptop,23/01/14,,06/04/12,NA,2012
535,534,"Metcare of Florida, Inc.",FL,,2557,05/01/2012 - 05/02/2012,Theft,Other Portable Electronic Device,23/01/14,,01/05/12,02/05/12,2012
536,535,"Robert Witham, MD, FACP",OR,,11136,4/16/2012,Theft,Desktop Computer,23/01/14,,16/04/12,NA,2012
537,536,Memorial Sloan-Kettering Cancer Center,NY,,568,08/13/2009-04/12/2012,Theft,"E-mail, Other",03/06/14,,13/08/09,12/04/12,2009
538,537,"Gessler Clinic, P.A.",FL,,1409,05/03/2012-05/04/2012,Theft,Paper,23/01/14,,03/05/12,04/05/12,2012
539,538,University of Kentucky HealthCare,KY,,4490,05/01/12,Theft,Laptop,23/01/14,,01/05/12,NA,2012
540,539,Wolf & Yun,KY,,824,4/24/2012,Theft,Laptop,23/01/14,,24/04/12,NA,2012
541,540,Karen Kietzman,MT,,708,4/22/2012,Theft,"Laptop, Other Portable Electronic Device",21/03/14,,22/04/12,NA,2012
542,541,"Bruce G. Peller, DMD, PA",NC,,9953,4/22/2012,Unauthorized Access/Disclosure,Desktop Computer,23/01/14,,22/04/12,NA,2012
543,542,"Sharon L. Rogers, Ph.D., ABPP",TX,,585,6/16/2012,Theft,Laptop,23/01/14,,16/06/12,NA,2012
544,543,Health Texas Provider Network - Cardiovascular Consultants of North Texas,TX,,2462,03/16/2012 - 05/11/2012,Unauthorized Access/Disclosure,Electronic Medical Record,23/01/14,,16/03/12,11/05/12,2012
545,544,SwedishAmerican Health System,IL,,1500,5/31/2012,Theft,Paper,24/03/14,,31/05/12,NA,2012
546,545,River Arch Dental,CA,"Patterson Dental, Inc.",2533,05/12/12,"Loss, Unauthorized Access/Disclosure, Unknown",Other Portable Electronic Device,23/01/14,,12/05/12,NA,2012
547,546,Hamner Square Dental ,CA,"Patterson Dental, Inc",1112,05/12/12,"Theft, Loss, Unauthorized Access/Disclosure, Unknown",Other Portable Electronic Device,23/01/14,,12/05/12,NA,2012
548,547,Visiting Nurse Services of Iowa,IA,,1298,5/27/2012,Theft,Paper,23/01/14,,27/05/12,NA,2012
549,548,Molalla Family Dental,OR,,4354,5/17/2012,"Unauthorized Access/Disclosure, Hacking/IT Incident, Other",Network Server,23/01/14,,17/05/12,NA,2012
550,549,Pamlico Medical Equipment LLC,NC,,2917,5/16/2012,Loss,Other Portable Electronic Device,23/01/14,,16/05/12,NA,2012
551,550,Beth Israel Deaconess Medical Center,MA,,3900,5/22/2012,Theft,Laptop,23/01/14,,22/05/12,NA,2012
552,551,NYU School of Medicine Faculty Group Practice,NY,,8488,5/22/2012,Theft,Desktop Computer,23/01/14,,22/05/12,NA,2012
553,552,"Adult & Child Center, Inc.",IN,"Choices, Inc.",550,05/10/12,Hacking/IT Incident,Other,23/01/14,,10/05/12,NA,2012
554,553,"The Surgeons of Lake County, LLC",IL,,7067,06/22/2012-06/25/2012,Other,Network Server,23/01/14,,22/06/12,25/06/12,2012
555,554,Kindred Healthcare Inc d/b/a Kindred Transitional Care and Rehabilitation-Sellersburg,IN,,1504,06/01/2012-06/04/2012,Theft,Other,23/01/14,,01/06/12,04/06/12,2012
556,555,Jeffrey Paul Edelstein M.D.,AZ,,4800,5/28/2012,Theft,Network Server,23/01/14,,28/05/12,NA,2012
557,556,Northwestern Memorial Hospital,IL,,4211,06/11/12,Theft,"Laptop, Other Portable Electronic Device",23/01/14,,11/06/12,NA,2012
558,557,Walgreen Co.,IL,,1240,07/05/12,Theft,Paper,23/01/14,,05/07/12,NA,2012
559,558,VNA HealthCare,CT,EMC,7461,6/25/2012,Theft,Laptop,19/02/14,,25/06/12,NA,2012
560,559,Hartford Hospital,CT,EMC,2097,6/25/2012,Theft,Laptop,23/04/14,,25/06/12,NA,2012
561,560,Diversified Support Services,IN,"Choices, Inc.",505,05/10/12,Hacking/IT Incident,Other,23/01/14,,10/05/12,NA,2012
562,561,Oregon Health & Science University,OR,,702,07/04/12,Theft,Other,23/01/14,,04/07/12,NA,2012
563,562,Stanford Hospital & Clinics and School of Medicine,CA,,2300,07/15/2012 - 07/16/2012,Theft,Desktop Computer,23/01/14,,15/07/12,16/07/12,2012
564,563,Midtown Mental Health Center,IN,"CHOICES, Inc",890,05/10/12,Hacking/IT Incident,Other,23/01/14,,10/05/12,NA,2012
565,564,Harris County Hospital District,TX,,2875,04/14/2008 - 02/28/2011,Theft,"Electronic Medical Record, Paper",23/04/14,,14/04/08,28/02/11,2008
566,565,Howard University Hospital,DC,"Siemens Medical Solutions, USA",66601,1/25/2012,Theft,Laptop,23/01/14,,25/01/12,NA,2012
567,566,TEMPLE COMMUNITY HOSPITAL,CA,,603,07/03/12,Theft,Desktop Computer,23/01/14,,03/07/12,NA,2012
568,567,Memorial Healthcare System,FL,,105646,01/01/2011 - 07/05/2012,Theft,Electronic Medical Record,23/01/14,,01/01/11,05/07/12,2011
569,568,"Liberty Resources, Inc.",PA,,3183,08/04/12,Theft,Laptop,24/06/14,,04/08/12,NA,2012
570,569,The University of Texas MD Anderson Cancer Center,TX,,2264,7/13/2012,Loss,Other Portable Electronic Device,23/01/14,,13/07/12,NA,2012
571,570,Central States Southeast and Siouthwest Areas Health & Welfare Fund,IL,,754,7/31/2012,"Unauthorized Access/Disclosure, Other",Paper,23/01/14,,31/07/12,NA,2012
572,571,LANA MEDICAL CARE,FL,,500,8/18/2012,Theft,Laptop,23/01/14,,18/08/12,NA,2012
573,572,"Cancer Care Group, P.C.",IN,,55000,7/19/2012,Theft,Other Portable Electronic Device,24/03/14,,19/07/12,NA,2012
574,573,Tricounty Behavioral Health Clinic,GA,,4000,8/26/2012,Theft,Laptop,23/01/14,,26/08/12,NA,2012
575,574,Sierra Plastic Surgery,NV,,800,08/19/2011-09/20/2011,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,23/01/14,,19/08/11,20/09/11,2011
576,575,"Charlotte Clark-Neitzel, MD",WA,,942,7/24/2012,Theft,Laptop,23/01/14,,24/07/12,NA,2012
577,576,University of Miami,FL,,64846,7/18/2012,"Unauthorized Access/Disclosure, Other",Paper,23/01/14,,18/07/12,NA,2012
578,577,University of New Mexico Health Sciences Center,NM,,2365,5/21/2012,Hacking/IT Incident,Network Server,23/01/14,,21/05/12,NA,2012
579,578,"Valley Plastic Surgery, P.C.",VA,,4873,7/15/2012,Theft,Other Portable Electronic Device,24/03/14,,15/07/12,NA,2012
580,579,Colon & Digestive Health Specialists,AR,"Ecco Health, LLC",5713,7/16/2012,Loss,Other Portable Electronic Device,23/01/14,,16/07/12,NA,2012
581,580,"BHcare, Inc",CT,,5827,7/19/2012,Theft,"Laptop, Other Portable Electronic Device",19/02/14,,19/07/12,NA,2012
582,581,The Feinstein Institute for Medical Research,NY,,13000,09/02/12,Theft,Laptop,23/01/14,,02/09/12,NA,2012
583,582,"St. Therese Medical Group, Inc",CA,,3031,7/22/2012,Theft,Desktop Computer,23/01/14,,22/07/12,NA,2012
584,583,"Cabinet for Health and Family Services, Department for Community Based Services (Protection and Permanency)",KY,,2500,7/20/2012,Unauthorized Access/Disclosure,E-mail,23/01/14,,20/07/12,NA,2012
585,584,"Litton & Giddings Radiological Associates, P.C.",MO,"PST Services, Inc",13074,07/31/2012 - 08/02/2012,Improper Disposal,Paper,23/01/14,,31/07/12,02/08/12,2012
586,585,"Apria Healthcare, Inc.",CA,,65700,6/14/2012,Theft,Laptop,23/01/14,,14/06/12,NA,2012
587,586,"Alexander J. Tikhtman, M.D.",KY,,2376,8/15/2012,Loss,Other Portable Electronic Device,23/01/14,,15/08/12,NA,2012
588,587,Gulf Coast Health Care Services Inc,FL,,13000,8/17/2012,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,23/01/14,,17/08/12,NA,2012
589,588,"Blount Memorial Hospital, Inc",TN,,27799,8/25/2012,Theft,Laptop,23/01/14,,25/08/12,NA,2012
590,589,"Alere Home Monitoring, Inc",CA,,116506,9/23/2012,Theft,Laptop,23/01/14,,23/09/12,NA,2012
591,590,"Coastal home Respiratory, LLP",GA,,3440,10/04/12,Theft,Other,23/01/14,,04/10/12,NA,2012
592,591," Philip P Corneliuson, DDS, INC.",CA,,980,9/15/2012,Theft,Desktop Computer,23/01/14,,15/09/12,NA,2012
593,592,"First Step Counseling, Inc.",NJ,,638,05/01/2011 - 08/05/2011,Theft,Paper,03/06/14,,01/05/11,05/08/11,2011
594,593,"Logan Community Resources, Inc.",IN,,2900,8/24/2012,Hacking/IT Incident,Network Server,23/01/14,,24/08/12,NA,2012
595,594,"David DiGiallorenzo, D.M.D.",PA,,2600,9/17/2012,"Unauthorized Access/Disclosure, Hacking/IT Incident","Network Server, Electronic Medical Record",23/01/14,,17/09/12,NA,2012
596,595,CVS Caremark,RI,,955,8/13/2012,Theft,Paper,23/01/14,,13/08/12,NA,2012
597,596,Memorial Hospital,OH,,500,8/29/2012,Improper Disposal,Paper,24/03/14,,29/08/12,NA,2012
598,597,"SURGICAL ASSOCIATES OF UTICA, PC",NY,QUANTERION SOLUTIONS INC,1017,9/18/2012,Theft,Network Server,20/06/14,,18/09/12,NA,2012
